tool	family	mode	fields	sort	lookup_source	lookup_target	version
build_mvs_dump_all_ever.bat	history	file-output	19 source-local unions	chronological	archive-root		0.1.0
build_mvs_dump_change_history.bat	history	file-output	19 source-local domains	chronological	archive-root		0.1.0
build_mvs_product_family_index.bat	product-family	builder	index	archive-order	archive	family-index	0.1.0
compare_mvs_dump_dates_from_mvs_dates.txt.bat	compare	human	date	source-order	mvs_dates.txt		0.1.0
compare_mvs_dump_filenames_from_mvs.sha1.bat	compare	human	filename	source-order	mvs.sha1		0.1.0
compare_mvs_dump_filenames_from_mvs.sha256.bat	compare	human	filename	source-order	mvs.sha256		0.1.0
compare_mvs_dump_filenames_from_mvs.txt.bat	compare	human	filename	source-order	mvs.txt		0.1.0
compare_mvs_dump_filenames_from_mvs_names.txt.bat	compare	human	filename	source-order	mvs_names.txt		0.1.0
compare_mvs_dump_id_from_mvs.txt.bat	compare	human	id	source-order	mvs.txt		0.1.0
compare_mvs_dump_id_from_mvs_dates.txt.bat	compare	human	id	source-order	mvs_dates.txt		0.1.0
compare_mvs_dump_id_from_mvs_ids.txt.bat	compare	human	id	source-order	mvs_ids.txt		0.1.0
compare_mvs_dump_id_from_mvs_names.txt.bat	compare	human	id	source-order	mvs_names.txt		0.1.0
compare_mvs_dump_sha1_from_mvs.sha1.bat	compare	human	sha1	source-order	mvs.sha1		0.1.0
compare_mvs_dump_sha1_from_mvs.txt.bat	compare	human	sha1	source-order	mvs.txt		0.1.0
compare_mvs_dump_sha1_from_mvs_names.txt.bat	compare	human	sha1	source-order	mvs_names.txt		0.1.0
compare_mvs_dump_sha256_from_mvs.sha256.bat	compare	human	sha256	source-order	mvs.sha256		0.1.0
compare_mvs_dump_sha256_from_mvs.txt.bat	compare	human	sha256	source-order	mvs.txt		0.1.0
compare_mvs_dump_sha256_from_mvs_names.txt.bat	compare	human	sha256	source-order	mvs_names.txt		0.1.0
compare_mvs_dump_title_from_mvs.txt.bat	compare	human	title	source-order	mvs.txt		0.1.0
compare_mvs_dump_title_from_mvs_dates.txt.bat	compare	human	title	source-order	mvs_dates.txt		0.1.0
compare_mvs_dump_title_from_mvs_ids.txt.bat	compare	human	title	source-order	mvs_ids.txt		0.1.0
compare_mvs_dump_title_from_mvs_names.txt.bat	compare	human	title	source-order	mvs_names.txt		0.1.0
dev\generate_archive_sweep.py	development	generator	archive-sweep				0.4.4
dev\generate_compare_fixture.py	development	generator	compare-fixture				0.1.0
dev\generate_compare_tools.py	development	generator	compare-tools				0.1.0
dev\generate_diagnostic_fixture.py	development	generator	diagnostic-fixture				0.1.0
dev\generate_diagnostic_tools.py	development	generator	diagnostics				0.1.0
dev\generate_expected_compare_outputs.py	development	generator	compare-expected				0.1.0
dev\generate_expected_diagnostic_outputs.py	development	generator	diagnostic-expected				0.1.0
dev\generate_expected_relationship_outputs.py	development	generator	relationship-expected				0.1.0
dev\generate_expected_single_dump_outputs.py	development	generator	single-dump-expected				0.1.1
dev\generate_product_family_fixture.py	development	generator	product-family-fixture				0.1.0
dev\generate_product_family_tools.py	development	generator	product-family-tools				0.1.0
dev\generate_relationship_fixture.py	development	generator	relationship-fixture				0.1.0
dev\generate_relationship_tools.py	development	generator	relationship-tools				0.1.0
dev\generate_single_dump_fixture.py	development	generator	single-dump-fixture				0.2.0
dev\generate_single_dump_tools.py	development	generator	single-dump-tools				0.1.1
dev\generate_tests.py	development	generator	tests				0.11.0
dev\validate_archive_sweep.py	development	validator	archive-sweep				0.6.0
dev\validate_generated.py	development	validator	generated-public-tools				0.8.0
find_mvs_duplicate_date_in_mvs_date.txt.bat	diagnostic	human	date	source-order	mvs_dates.txt		0.1.0
find_mvs_duplicate_date_in_mvs_dates.txt.bat	diagnostic	human	date	source-order	mvs_dates.txt		0.1.0
find_mvs_duplicate_filename_in_mvs.txt.bat	diagnostic	human	filename	source-order	mvs.txt		0.1.0
find_mvs_duplicate_filename_in_mvs_names.txt.bat	diagnostic	human	filename	source-order	mvs_names.txt		0.1.0
find_mvs_duplicate_hash_in_mvs.txt.bat	single-dump	human		source-order		mvs.txt	0.1.2
find_mvs_duplicate_hash_in_mvs_names.txt.bat	single-dump	human		source-order		mvs_names.txt	0.1.2
find_mvs_duplicate_id_in_mvs.txt.bat	diagnostic	human	id	source-order	mvs.txt		0.1.0
find_mvs_duplicate_id_in_mvs_dates.txt.bat	diagnostic	human	id	source-order	mvs_dates.txt		0.1.0
find_mvs_duplicate_id_in_mvs_ids.txt.bat	diagnostic	human	id	source-order	mvs_ids.txt		0.1.0
find_mvs_duplicate_id_in_mvs_names.txt.bat	diagnostic	human	id	source-order	mvs_names.txt		0.1.0
find_mvs_duplicate_id_in_mvs_notes.html.bat	diagnostic	human	id	source-order	mvs_notes.html		0.1.0
find_mvs_duplicate_sha1_in_mvs.sha1.bat	single-dump	human		source-order		mvs.sha1	0.1.2
find_mvs_duplicate_sha256_in_mvs.sha256.bat	single-dump	human		source-order		mvs.sha256	0.1.2
find_mvs_duplicate_title_in_mvs.txt.bat	diagnostic	human	title	source-order	mvs.txt		0.1.0
find_mvs_duplicate_title_in_mvs_dates.txt.bat	diagnostic	human	title	source-order	mvs_dates.txt		0.1.0
find_mvs_duplicate_title_in_mvs_ids.txt.bat	diagnostic	human	title	source-order	mvs_ids.txt		0.1.0
find_mvs_duplicate_title_in_mvs_names.txt.bat	diagnostic	human	title	source-order	mvs_names.txt		0.1.0
find_mvs_duplicate_title_in_mvs_notes.html.bat	diagnostic	human	title	source-order	mvs_notes.html		0.1.0
find_mvs_filename_with_multiple_hashes_in_mvs.txt.bat	single-dump	human		source-order		mvs.txt	0.1.2
find_mvs_filename_with_multiple_hashes_in_mvs_names.txt.bat	single-dump	human		source-order		mvs_names.txt	0.1.2
find_mvs_hash_mismatch_for_filename_between_mvs.txt_and_mvs.sha1.bat	single-dump	human		source-order		mvs.txt|mvs.sha1	0.1.2
find_mvs_hash_mismatch_for_filename_between_mvs.txt_and_mvs.sha256.bat	single-dump	human		source-order		mvs.txt|mvs.sha256	0.1.2
find_mvs_hash_with_multiple_filenames_in_mvs.sha1.bat	single-dump	human		source-order		mvs.sha1	0.1.2
find_mvs_hash_with_multiple_filenames_in_mvs.sha256.bat	single-dump	human		source-order		mvs.sha256	0.1.2
find_mvs_orphan_filenames_from_mvs.txt_in_mvs.sha1.bat	diagnostic	human	filename	source-order	mvs.txt	mvs.sha1	0.1.0
find_mvs_orphan_filenames_from_mvs.txt_in_mvs.sha256.bat	diagnostic	human	filename	source-order	mvs.txt	mvs.sha256	0.1.0
find_mvs_orphan_filenames_from_mvs.txt_in_mvs_names.txt.bat	diagnostic	human	filename	source-order	mvs.txt	mvs_names.txt	0.1.0
find_mvs_orphan_filenames_from_mvs_names.txt_in_mvs.sha1.bat	diagnostic	human	filename	source-order	mvs_names.txt	mvs.sha1	0.1.0
find_mvs_orphan_filenames_from_mvs_names.txt_in_mvs.sha256.bat	diagnostic	human	filename	source-order	mvs_names.txt	mvs.sha256	0.1.0
find_mvs_orphan_filenames_from_mvs_names.txt_in_mvs.txt.bat	diagnostic	human	filename	source-order	mvs_names.txt	mvs.txt	0.1.0
find_mvs_orphan_id_from_mvs.txt_in_mvs_dates.txt.bat	diagnostic	human	id	source-order	mvs.txt	mvs_dates.txt	0.1.0
find_mvs_orphan_id_from_mvs.txt_in_mvs_ids.txt.bat	diagnostic	human	id	source-order	mvs.txt	mvs_ids.txt	0.1.0
find_mvs_orphan_id_from_mvs.txt_in_mvs_names.txt.bat	diagnostic	human	id	source-order	mvs.txt	mvs_names.txt	0.1.0
find_mvs_orphan_id_from_mvs_dates.txt_in_mvs.txt.bat	diagnostic	human	id	source-order	mvs_dates.txt	mvs.txt	0.1.0
find_mvs_orphan_id_from_mvs_dates.txt_in_mvs_ids.txt.bat	diagnostic	human	id	source-order	mvs_dates.txt	mvs_ids.txt	0.1.0
find_mvs_orphan_id_from_mvs_dates.txt_in_mvs_names.txt.bat	diagnostic	human	id	source-order	mvs_dates.txt	mvs_names.txt	0.1.0
find_mvs_orphan_id_from_mvs_ids.txt_in_mvs.txt.bat	diagnostic	human	id	source-order	mvs_ids.txt	mvs.txt	0.1.0
find_mvs_orphan_id_from_mvs_ids.txt_in_mvs_dates.txt.bat	diagnostic	human	id	source-order	mvs_ids.txt	mvs_dates.txt	0.1.0
find_mvs_orphan_id_from_mvs_ids.txt_in_mvs_names.txt.bat	diagnostic	human	id	source-order	mvs_ids.txt	mvs_names.txt	0.1.0
find_mvs_orphan_id_from_mvs_names.txt_in_mvs.txt.bat	diagnostic	human	id	source-order	mvs_names.txt	mvs.txt	0.1.0
find_mvs_orphan_id_from_mvs_names.txt_in_mvs_dates.txt.bat	diagnostic	human	id	source-order	mvs_names.txt	mvs_dates.txt	0.1.0
find_mvs_orphan_id_from_mvs_names.txt_in_mvs_ids.txt.bat	diagnostic	human	id	source-order	mvs_names.txt	mvs_ids.txt	0.1.0
find_mvs_orphan_title_from_mvs_ids.txt_in_mvs.txt.bat	diagnostic	human	title	source-order	mvs_ids.txt	mvs.txt	0.1.0
find_mvs_orphan_title_from_mvs_ids.txt_in_mvs_dates.txt.bat	diagnostic	human	title	source-order	mvs_ids.txt	mvs_dates.txt	0.1.0
find_mvs_orphan_title_from_mvs_ids.txt_in_mvs_names.txt.bat	diagnostic	human	title	source-order	mvs_ids.txt	mvs_names.txt	0.1.0
